;Tool  Pocket X Offset     Y Offset     Z Offset     Diameter     Remark
T18    P18    X+0.000000   Y+0.000000   Z+111.549180 D+12.700000  ; 1/2"  4 Flute VH End Mill TiALN 1.250 loc 0.030 CR 3.000 oal
T19    P19    X+0.000000   Y+0.000000   Z+105.996740 D+6.350000   ; 1/4" 4 Flute End Mill Undercut AlTiN 0.375 loc 1.250 reach 4.000 oal
T20    P20    X+0.000000   Y+0.000000   Z+121.617740 D+9.525000   ; 3/8" 4 Flute End Mill Undercut AlTiN 0.500 loc 1.875 reach 4.000 oal
T21    P21    X+0.000000   Y+0.000000   Z+89.870280  D+6.350000   ; 1/4" 4 Flute Helical Chamfer Mill .250 Dia 90 Degree 2.000 oal
T22    P22    X+0.000000   Y+0.000000   Z+104.533700 D+9.525000   ; 3/8" 4 Flute 90 DEGREE CHAMFER MILLS
T23    P23    X+0.000000   Y+0.000000   Z+93.969840  D+62.999620  ; 63mm (2.4803) 4 Flute 90 deg Face Mill 14mm loc 50mm oal
T24    P24    X+0.000000   Y+0.000000   Z+109.989620 D+49.999900  ; 50mm (1.9685) 4 Flute 45 deg Face Mill 4mm Loc 50mm oal
T25    P25    X+0.000000   Y+0.000000   Z+127.599440 D+2.578100   ; 38 (.1015) Stub Drill 0.8125 loc 135 deg 15 degH 1.8125 oal
T26    P26    X+0.000000   Y+0.000000   Z+123.944380 D+2.999740   ; M3-0.5 D3 3 Flute Spiral Tap 14mm loc
T27    P27    X+0.000000   Y+0.000000   Z+130.053080 D+3.454400   ; 29 (.1360) Stub Drill 0.9375 loc 135 deg 15 degH 1.9375 oal
T28    P28    X+0.000000   Y+0.000000   Z+128.384300 D+4.000500   ; M4-0.7 D4 3 Flute Spiral Tap 14mm loc
T29    P29    X+0.000000   Y+0.000000   Z+132.356860 D+4.216400   ; 19 (.1660) Stub Drill 1.0625 loc 135 deg 15 degH 2.1250 oal
T30    P30    X+0.000000   Y+0.000000   Z+132.748020 D+5.001260   ; M5-0.8 D4 3 Flute Spiral Tap 19mm loc
T31    P31    X+0.000000   Y+0.000000   Z+136.893300 D+5.054600   ; 8 (.1990) Stub Drill 1.1875 loc 135 deg 15 degH 2.2500 oal
T32    P32    X+0.000000   Y+0.000000   Z+136.039860 D+5.999480   ; M6-1.0 D5 3 Flute Spiral Tap 19mm loc
T33    P33    X+0.000000   Y+0.000000   Z+147.416520 D+6.756400   ; H (.2660) Stub Drill 1.500 loc 135 deg 15 degH 2.6875 oal
T34    P34    X+0.000000   Y+0.000000   Z+139.512040 D+8.001000   ; m8-1.25 D5 3 Flute Spiral Flute Tap 19mm loc
T35    P35    X+0.000000   Y+0.000000   Z+150.276560 D+8.498840   ; 8.5mm (.3346) Stub Drill 43mm loc 135 deg 76mm oal
T36    P36    X+0.000000   Y+0.000000   Z+139.997180 D+10.091420  ; M10-1.50 D6 3 Flute Spiral Flute Tap 19mm loc
T37    P37    X+0.000000   Y+0.000000   Z+127.751840 D+10.591800  ; 1/8 NPT TaP 4 FLUTE LOC 0.7750
T38    P38    X+0.000000   Y+0.000000   Z+193.685160 D+8.610600   ; R (0.3390) JOBBER DRILL 2 FLUTE 135 DEG LOC 3.150
T39    P39    X+0.000000   Y+0.000000   Z+106.492040 D+13.970000  ; 1/4 NPT TAP 4 FLUTE LOC 0.9250
T40    P40    X+0.000000   Y+0.000000   Z+217.741500 D+11.049000  ; 7/16 JOBBER DRILL 2 FLUTE LOC 3.6000
T41    P41    X+0.000000   Y+0.000000   Z+135.006080 D+19.050000  ; 3/4" 4 Flute Ball End Mill 37 Deg Helix 1.625 loc
T42    P42    X+0.000000   Y+0.000000   Z+159.961580 D+5.953760   ; 15/64" carbide jobber drill 2.000" loc
T43    P43    X+0.000000   Y+0.000000   Z+142.692120 D+12.700000  ; 1/2" 3 FLUTE End Mill Undercut 0.750 loc 2.250 reach 0.190 CR
T44    P44    X+0.000000   Y+0.000000   Z+101.107240 D+6.350000   ; 1/4" 4 FLUTE MILL DRILL CHAMFER TOOL 90 DEGREE LOC 0.750
T47    P47    X+0.000000   Y+0.000000   Z+0.000000   D+49.999900  ; 50mm Boring Head 10-125mm 63mm head length
T48    P48    X+0.000000   Y+0.000000   Z+107.381040 D+99.999800  ; 100mm (3.9370) 6 Flute 45 deg Face Mill 4mm Loc
T49    P49    X+0.000000   Y+0.000000   Z+209.534760 D+9.804400   ; W (0.3860) JOBBER DRILL 2 FLUTE 135 DEG LOC 3.150
T50    P50    X+0.000000   Y+0.000000   Z+177.187860 D+5.232400   ; 6 (.2060) Jobber Drill 2.0000 LOC 135 deg 2.7500 oal
T51    P51    X+0.000000   Y+0.000000   Z+129.255520 D+6.096000   ; 5/16-18 THREADMILL 0.6250" LOC
T52    P52    X+0.000000   Y+0.000000   Z+105.925620 D+5.105400   ; #7 Carbide Stub Drill 0.201" 135deg 1.1875" LOC
T53    P53    X+0.000000   Y+0.000000   Z+122.026680 D+4.622800   ; 1/4 Single Point Thread Mill 0.525" LOC
T54    P54    X+0.000000   Y+0.000000   Z+180.306980 D+5.105400   ; #7 (0.201") Jobber Drill 2 Flute 135deg LOC 2.000
T55    P55    X+0.000000   Y+0.000000   Z+187.957460 D+6.908800   ; I (0.2720") Jobber Drill 2 Flute 135 deg LOC 2.5000
T56    P56    X+0.000000   Y+0.000000   Z+215.839040 D+11.856720  ; 15/32" Jobber DRill 135 DEG
T57    P57    X+0.000000   Y+0.000000   Z+226.204780 D+12.303760  ; 31/64" Jobber Drill 135 DEG
T58    P58    X+0.000000   Y+0.000000   Z+208.638140 D+5.308600   ; #4 (0.209) Jobber Drill 135 DEG 2.500 LOC
T59    P59    X+0.000000   Y+0.000000   Z+132.359400 D+4.419600   ; M6 Single Point THREAD MILL 0.6250 LOC
T60    P60    X+0.000000   Y+0.000000   Z+189.169040 D+12.700000  ; 1/2" Jobber Drill 135 DEG
T62    P62    X+0.000000   Y+0.000000   Z+90.439240  D+9.525000   ; 3/8" 3 Flute 45 deg Helix 0.500 loc 2.500 oal
T63    P63    X+0.000000   Y+0.000000   Z+123.573540 D+3.429000   ; M5 SINGLE POINT THREAD MILL
T64    P64    X+0.000000   Y+0.000000   Z+110.662720 D+12.700000  ; 1/2" 5 flute alumacut finisher 1.2500 loc
T65    P65    X+0.000000   Y+0.000000   Z+126.944120 D+12.700000  ; 1/2" 3 Flute 45 deg Helix 0.625 loc 2.500 oal
T66    P66    X+0.000000   Y+0.000000   Z+136.535160 D+12.700000  ; 1/2" 4 flute corn cob rougher 2.000 loc
T68    P68    X+0.000000   Y+0.000000   Z+187.967620 D+6.527800   ; F (0.2570) Jobber Drill 2 Flute 135 DEG 2.650 LOC
T69    P69    X+0.000000   Y+0.000000   Z+123.868180 D+12.700000  ; 1/2" 3 flute chip breaker 1.6250 LOC
T70    P70    X+0.000000   Y+0.000000   Z+192.095120 D+19.050000  ; 3/4" 3 flute 45 deg Helix 3.250 loc 6.000 oal
T71    P71    X+0.000000   Y+0.000000   Z+173.598840 D+6.045200   ; B (0.2380) JOBBER DRILL 2 FLUTE 135 DEG LOC 2.6250
T73    P73    X+0.000000   Y+0.000000   Z+166.255700 D+11.498580  ; 11.5mm 2 Flute Cobalt jobber Drill 2.875 LOC
T74    P0     X+0.000000   Y+0.000000   Z+110.789720 D+5.953760   ; 15/64" (0.2344) Carbide Stub Drill 135deg 1.3125" LOC
T99    P99    X+0.000000   Y+0.000000   Z+150.688040 D+3.175000   ; Probe Tool 0.125" ball Probe Tip
T100   P100   X+0.000000   Y+0.000000   Z+0.000000   D+0.000000   ; Spindle Nose
T101   P101   X+0.000000   Y+0.000000   Z+125.178820 D+4.762500   ; 3/16" Internal groove tool
T102   P102   X+0.000000   Y+0.000000   Z+163.108640 D+8.991600   ; 0.3540 Reamer 1.750 LOC
T103   P103   X+0.000000   Y+0.000000   Z+166.240460 D+11.501120  ; 11.5mm jobber drill 2 flute 135deg 2.875 loc
T104   P104   X+0.000000   Y+0.000000   Z+175.475900 D+11.508740  ; 29/64" Reamer 1.750 LOC
T105   P105   X+0.000000   Y+0.000000   Z+168.338500 D+5.557520   ; 7/32" (0.2188") Jobber Drill 2 Flute 135 deg LOC 2.250
