;Tool  Pocket X Offset Y Offset Z Offset Diameter Remark
T31    P31    X0.0     Y0.0     Z5.3909  D0.199   ; 8 (.1990) Stub Drill 1.1875 loc 135 deg 15 degH 2.2500 oal
T32    P32    X0.0     Y0.0     Z5.3559  D0.2362  ; M6-1.0 D5 3 Flute Spiral Tap 19mm loc
T33    P33    X0.0     Y0.0     Z5.684   D0.266   ; H (.2660) Stub Drill 1.500 loc 135 deg 15 degH 2.6875 oal
T34    P34    X0.0     Y0.0     Z5.4926  D0.315   ; 8-1.25 D5 3 Flute Spiral Flute Tap 19mm loc
T35    P35    X0.0     Y0.0     Z5.9164  D0.3346  ; 8.5mm (.3346) Stub Drill 43mm loc 135 deg 15 degH 76mm oal
T36    P36    X0.0     Y0.0     Z5.5117  D0.3973  ; M10-1.50 D6 3 Flute Spiral Flute Tap 19mm loc
T37    P37    X0.0     Y0.0     Z0.0     D0.417   ; 1/8 NPT TaP 4 FLUTE LOC 0.7750
T38    P38    X0.0     Y0.0     Z0.0     D0.339   ; R (0.3390) JOBBER DRILL 2 FLUTE 135 DEG LOC 3.150
T39    P39    X0.0     Y0.0     Z0.0     D0.55    ; 1/4 NPT TAP 4 FLUTE LOC 0.9250
T40    P40    X0.0     Y0.0     Z0.0     D0.435   ; 7/16 JOBBER DRILL 2 FLUTE LOC 3.6000
T42    P42    X0.0     Y0.0     Z0.0     D0.0     ; DRILL CHUCK EMPTY
T44    P44    X0.0     Y0.0     Z0.0     D0.0     ; DRILL CHUCK EMPTY 2
T47    P45    X0.0     Y0.0     Z0.0     D1.9685  ; 50mm Boring Head 10-125mm 63mm head length
T48    P46    X0.0     Y0.0     Z4.4125  D3.937   ; 100mm (3.9370) 6 Flute 45 deg Face Mill 4mm Loc 50mm oal
T98    P47    X0.0     Y0.0     Z0.0     D0.0     ; Spindle Nose
T99    P48    X0.0     Y0.0     Z5.9396  D0.125   ; Probe Tool 0.125" ball Probe Tip
